id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Solar Flare,The Kinetics,electronic,energetic,0.9,128,0.70,0.80,0.08
12,Rainy Window,Mellow Sun,lofi,chill,0.2,70,0.55,0.40,0.90
13,Iron Horizon,Steel Chorus,rock,intense,0.85,150,0.45,0.60,0.05
14,Velvet Room,Nadia Cruz,rnb,romantic,0.4,90,0.68,0.65,0.55
15,Paper Boats,Willow Creek,folk,nostalgic,0.3,95,0.50,0.45,0.80
16,Neon Pulse,Sync Error,edm,euphoric,0.95,130,0.85,0.90,0.03
17,Quiet Static,Hollow Moon,ambient,melancholy,0.15,60,0.25,0.30,0.95
18,Street Heat,MC Ronin,hiphop,confident,0.75,95,0.72,0.85,0.12